dataset,w0,control_w1,test_w1,control_mean_cycles,test_mean_cycles,cycle_delta_pct,control_mean_latency_ms,test_mean_latency_ms,latency_delta_pct,control_mean_hashes,test_mean_hashes,hash_delta_pct,control_cycles_per_hash,test_cycles_per_hash,cycles_per_hash_delta_pct
ORIGINAL,16,16,4,42907321.49337809,47201389.17204761,10.007773799938143,17.89114908837351,19.68153683539823,10.007114345652603,25010.35324992371,25010.483979249315,0.0005227008363169305,1715.5823856070072,1887.2641253647723,10.00719879139006
ORIGINAL,4,16,4,23758954.545682028,26207203.624046385,10.304532018263002,9.907464412938664,10.927825557216966,10.298913039200633,13762.02416844675,13761.924198962466,-0.0007264155552950756,1726.4142436369216,1904.3269854677872,10.305333293362356
REPEAT01,16,16,4,42689411.72334452,42733765.892706744,0.10389969683740044,17.801862198046994,17.819368414769606,0.09833924410746699,25011.62209337809,25011.7610619469,0.0005556159784159932,1706.7830132715255,1708.5468626886193,0.10334350666596118
REPEAT01,4,16,4,23733525.16502899,24049899.851876717,1.3330286362765078,9.896776096246567,10.030132034787915,1.3474684810937974,13761.848397924932,13762.236740921575,0.0028218810832215924,1724.5884766909383,1747.5284217691956,1.330169219399717
REPEAT02,16,16,4,42733568.861763805,42709246.91187061,-0.056915325681945815,17.820660358437596,17.809122747329873,-0.06474289322427089,25014.02520598108,25011.863777845592,-0.008640864945526081,1708.3843367818235,1707.5595521874138,-0.04827863242784187
REPEAT02,4,16,4,23788699.171132132,23758358.239548367,-0.12754346660781257,9.9222723133964,9.909192923893805,-0.13181848965116563,13762.123588648154,13761.57540433323,-0.003983282895198968,1728.563111492075,1726.4272106569542,-0.12356510566033548
REPEAT03,16,16,4,42789089.171925545,43246137.36563931,1.0681419085069865,17.845233039304244,18.039972093256026,1.0912665221175195,25012.149404943546,25012.588831248093,0.0017568514302097155,1710.7321917511201,1728.9748637139128,1.0663663226047848
REPEAT03,4,16,4,23747589.496673785,23794030.471406773,0.19556079466293771,9.902547524809277,9.921919288495575,0.19562404156874655,13761.441379310345,13762.00768996033,0.004115198650895093,1725.661494469404,1728.9650614542973,0.1914377179696522
