configuration,h0,h1,w0,w1,n_keygen,keygen_mean_ms,keygen_sd_ms,n_sign,sign_mean_ms,sign_median_ms,sign_p95_ms,sign_mean_cycles,sign_mean_cycles_million,n_verify,verify_mean_ms,verify_median_ms,verify_p95_ms,verify_mean_cycles,signature_bytes,public_key_bytes,secret_key_bytes
H14-6_W16-16,14,6,16,16,30,39276.58600123333,52.71741203732711,49155,17.822585198596276,20.249593,22.6857834,42737356.58567796,42.73735658567796,49155,2.5868756500661174,2.584203,2.7497834,6202820.64874377,4963,64,6478
H14-6_W16-4,14,6,16,4,30,39373.1000438,209.2476231451611,49155,17.88948775178517,20.325833,22.883222000000004,42896383.39007222,42.89638339007222,49155,2.1570911175668805,2.151,2.303648,5172302.3271691585,7075,64,8590
H14-6_W4-16,14,6,4,16,30,22126.7507949,18.785441447871705,49155,9.907198644817415,11.264037,12.6196354,23756604.61094497,23.756604610944972,49155,2.1104678509002137,2.093277,2.27737,5059900.474397315,7075,64,6478
H14-6_W4-4,14,6,4,4,30,22102.970195500002,77.74438370153761,49155,9.953748082392432,11.296371,12.685852,23867429.520943955,23.867429520943954,49155,1.671843946658529,1.666148,1.7600424000000001,4008726.3789645,9187,64,8590
